,region,value,device_type
5499,UT,20.0,android
5500,UT,21.0,ios
5501,UT,20.0,android
5502,UT,23.0,ios
5625,UT,12.0,android
5626,UT,11.0,ios
5627,UT,17.0,android
5628,UT,14.0,ios
5629,UT,16.0,android
5630,UT,16.0,ios
5684,GA,11.0,android
5685,GA,13.0,ios
5686,GA,9.0,android
5687,GA,12.0,ios
5688,GA,12.0,android
5689,GA,20.0,ios
5718,UT,17.0,android
5719,UT,12.0,ios
5720,UT,10.0,android
5721,UT,15.0,ios
5722,UT,9.0,android
5723,UT,4.0,ios
5800,UT,38.0,android
5801,UT,29.0,ios
5802,UT,53.0,android
5803,UT,26.0,ios
5804,UT,40.0,android
5805,UT,31.0,ios
5836,UT,15.0,android
5837,UT,15.0,ios
5838,UT,22.0,android
5839,UT,10.0,ios
5840,UT,17.0,android
5841,UT,12.0,ios
5842,UT,59.0,android
5843,UT,28.0,ios
5844,UT,62.0,android
5845,UT,27.0,ios
5846,UT,71.0,android
5847,UT,28.0,ios
5854,UT,49.0,android
5855,UT,23.0,ios
5856,UT,55.0,android
5857,UT,27.0,ios
5858,UT,49.0,android
5859,UT,28.0,ios
5860,UT,19.0,android
5861,UT,12.0,ios
5862,UT,21.0,android
5863,UT,11.0,ios
5864,UT,26.0,android
5865,UT,9.0,ios
5891,UT,24.0,android
5892,UT,6.0,ios
5893,UT,26.0,android
5894,UT,14.0,ios
5895,UT,29.0,android
5896,UT,13.0,ios
5998,UT,35.0,android
5999,UT,21.0,ios
6000,UT,29.0,android
6001,UT,23.0,ios
6002,UT,24.0,android
6003,UT,25.0,ios
6023,UT,,
6056,UT,118.0,android
6057,UT,38.0,ios
6058,UT,98.0,android
6059,UT,84.0,ios
6060,UT,93.0,android
6061,UT,72.0,ios
6068,GA,23.0,android
6069,GA,30.0,ios
6070,GA,21.0,android
6071,GA,41.0,ios
6072,GA,24.0,android
6073,GA,45.0,ios
6148,UT,49.0,android
6149,UT,40.0,ios
6150,UT,26.0,android
6151,UT,21.0,ios
6152,UT,47.0,android
6153,UT,38.0,ios
6164,UT,54.0,android
6165,UT,19.0,ios
6166,UT,45.0,android
6167,UT,23.0,ios
6168,UT,49.0,android
6169,UT,19.0,ios
6185,UT,,
6216,UT,0.0,android
6217,UT,0.0,ios
6218,UT,0.0,android
6219,UT,4.0,ios
6221,UT,28.0,android
6222,UT,21.0,ios
6223,UT,7.0,android
6224,UT,25.0,ios
6225,UT,13.0,android
6226,UT,23.0,ios
6233,UT,13.0,android
6234,UT,12.0,ios
6235,UT,4.0,android
6236,UT,10.0,ios
6237,UT,0.0,android
6238,UT,0.0,ios
6245,UT,129.0,android
6246,UT,41.0,ios
6247,UT,146.0,android
6248,UT,54.0,ios
6249,UT,169.0,android
6250,UT,44.0,ios
6252,UT,75.0,android
6253,UT,28.0,ios
6254,UT,73.0,android
6255,UT,44.0,ios
6256,UT,59.0,android
